"","author","match_title_freq","match_lang_freq","dnb_title_freq","dnb_lang_freq","onb_title_freq","onb_lang_freq"
"56","Flöss, Helene",1,1,1,1,1,1
"57","Foresti, Traute",1,1,1,1,1,1
"58","Franzobel",3,3,6,5,5,4
"59","Freitag, Günther",1,1,2,1,1,1
"60","Freund, René",1,1,1,1,2,1
"61","Fried, Erich",4,4,17,9,7,7
"62","Fritsch, Gerhard",1,1,1,1,1,1
"63","Fritsch, Valerie",5,4,5,4,6,5
"64","Fritz, Marianne",2,2,4,3,2,2
"65","Futscher, Christian",1,1,2,2,1,1
"66","Ganglbauer, Petra",1,1,1,1,1,1
"67","Gauß, KarlMarkus",1,1,NA,NA,4,3
"68","Geiger, Arno",15,12,29,19,33,20
"69","Gelich, Johannes",1,1,3,3,1,1
"70","Gerstl, Elfriede",1,1,1,1,1,1
"71","Glattauer, Daniel",43,20,70,24,58,23
"72","Glattauer, Daniel, ",1,1,NA,NA,1,1
"73","Glauser, Friedrich",8,6,50,11,12,8
"74","Glavinic, Thomas",20,13,34,18,22,13
"75","Grän, Christine",1,1,11,5,1,1
"76","Greiner, Margret",1,1,3,3,1,1
"77","Grill, Andrea",1,1,2,2,2,2
"78","Grill, Evelyn",1,1,5,3,1,1
"79","Grillparzer, Franz",2,2,11,7,2,2
"80","Gruber, Andreas",15,8,25,10,16,9
"81","Gruber, Marianne",3,2,9,6,4,3
"82","Gruber, Sabine",4,3,6,5,5,4
"83","Gstrein, Norbert",19,10,34,18,20,10
"84","Haas, Wolf",29,10,45,14,30,10
"85","Hackl, Erich",11,5,40,17,11,5
"86","Haderlap, Maja",6,6,10,9,7,7
"87","Hadwiger, Viktor",1,1,2,1,1,1
"88","Hamerling, Robert",1,1,2,2,1,1
"89","Handke, Peter",233,35,439,39,293,37
"90","Händl, Klaus",1,1,2,2,1,1
"91","Hartlieb, Petra",7,5,9,6,8,5
"92","Härtling, Peter",4,4,34,14,12,8
"93","Haslinger, Josef",3,3,11,11,6,6
"94","Hassler, Silke",1,1,1,1,2,1
"95","Hauer, Elisabeth",1,1,5,5,1,1
"96","Haushofer, Marlen",28,14,60,22,33,16
"97","Helfer, Monika",9,7,10,8,14,11
"98","Henisch, Peter",6,5,11,7,10,6
"99","Hermann, Wolfgang",3,2,4,2,3,2
"100","Herzl, Theodor",1,1,4,3,2,2
"101","HerzmanovskyOrlando, Fritz ",1,1,NA,NA,1,1
"102","Hochgatterer, Paulus",8,5,18,11,11,6
"103","Hochhuth, Rolf",1,1,12,5,1,1
"104","Hochwälder, Fritz",1,1,4,3,1,1
"105","Hoffer, Klaus",1,1,2,2,1,1
"106","Hoffmann, E. T. A.",1,1,209,34,2,2
"107","Hofmannsthal, Hugo ",12,9,NA,NA,17,12
"108","Hofmannsthal, Hugo von",1,1,48,17,1,1
"109","Horváth, Ödön ",12,10,NA,NA,18,11
"110","Hotschnig, Alois",2,2,5,3,3,3
"111","Innerhofer, Franz",3,3,4,3,4,3
"112","Jäger, Gerhard",1,1,1,1,1,1
"113","Jandl, Ernst",4,4,13,9,8,8
"114","Jelinek, Elfriede",116,29,280,38,134,30
"115","Jessen, Søren",1,1,1,1,1,1
"116","Jonke, Gert",4,3,13,5,8,5
"117","Jungk, Peter Stephan",1,1,8,4,2,1
"118","Kafka, Franz",229,39,799,47,331,41
"119","Kaiser, Vea",8,5,8,5,8,5
"120","KaiserMühlecker, Reinhard",1,1,NA,NA,1,1
"121","Kaléko, Mascha",1,1,3,3,2,2
"122","Kappacher, Walter",3,3,3,3,8,6
"123","Karlin, Alma M.",3,1,9,1,5,1
"124","Kehlmann, Daniel",110,37,181,43,120,37
"125","Kern, Elfriede",1,1,1,1,1,1
"126","Kim, Anna",6,6,11,9,8,7
"127","Kisch, Egon Erwin",1,1,5,3,2,2
"128","Klein, Josef",1,1,NA,NA,1,1
"129","Knapp, Radek",6,3,8,5,8,3
"130","Kneifl, Edith",2,1,3,2,2,1
"131","Koestler, Arthur",1,1,3,3,2,2
"132","Kofler, Gerhard",1,1,1,1,1,1
"133","Kofler, Werner",2,2,7,4,2,2
"134","Köhlmeier, Michael",16,11,28,18,19,13
"135","Konsalik, Heinz G.",1,1,336,22,1,1
"136","Kramar, Hubsi",1,1,1,1,1,1
"137","Kraus, Karl",4,4,24,9,10,8
"138","Kraxner, Petra Maria",1,1,1,1,1,1
"139","Kreslehner, Gabi",3,2,4,2,4,2
"140","Kröhn, Julia",3,3,8,5,3,3
"141","Kubelka, Susanna",8,5,42,9,8,5
"142","Kubin, Alfred",1,1,13,5,4,3
"143","KuehneltLeddihn, Erik ",1,1,NA,NA,1,1
"144","Kuehs, Wilhelm",1,1,1,1,1,1
"145","Kumpfmüller, Michael",9,9,33,22,9,9
"146","Lack, Stephan",2,1,2,1,2,1
"147","Laube, Sigrid",1,1,1,1,1,1
"148","Lavant, Christine",9,6,12,8,9,6
"149","Lazar, Maria",1,1,3,2,1,1
"150","Lechner, Auguste",2,1,2,1,5,1
"151","LernetHolenia, Alexander",10,7,NA,NA,14,8
