"","match_title_freq","onb_title_freq"
"Hermann, Wolfgang",0.394469968771554,-0.320982450844269
"Herzl, Theodor",-0.178443027883664,0.145200103836905
"HerzmanovskyOrlando, Fritz ",0.22774734265748,-0.185319304400084
"Hochgatterer, Paulus",0.156736767954397,-0.127537597024394
"Hochhuth, Rolf",0.22774734265748,-0.185319304400084
"Hochwälder, Fritz",0.22774734265748,-0.185319304400084
"Hoffer, Klaus",0.22774734265748,-0.185319304400084
"Hoffmann, E. T. A.",-0.178443027883664,0.145200103836905
"Hofmannsthal, Hugo ",0.131699165784156,-0.107164358136539
"Hofmannsthal, Hugo von",0.22774734265748,-0.185319304400084
"Horváth, Ödön ",0.0142528256885782,-0.0115976050983628
"Hotschnig, Alois",0.00581869172164155,-0.00473470245488151
"Innerhofer, Franz",0.126653767347284,-0.103058888813243
