"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country"
"728","990049389420603392","9789532601183","2010","Altenberg, Peter","hrv","Don Juan","fail","Zagreb","XA-HR"
"735","9959081208703338","9788823532892","2023","Handke, Peter","ita","La donna mancina","<<Die>> linkshändige Frau","Milano","XA-IT"
"737","990049752710603392","9788086911472","2015","Kafka, Franz","cze","Dopis otci","fail","Praha","XA-CZ"
"738","9958866073503338","9783869712383","2021","Dostoevskij, Fëdor Michajlovič","ger","Der Doppelgänger","Dvojnik","Köln","XA-DE-NW"
"740","990037760630603392","9785751609139","2011","Roth, Joseph","rus","Dorogi evrejskich skitanij","Juden auf Wanderschaft","Moskva","XA-RU"
"741","990049987620603392","9788688617888","2015","Slavković, Aleksandar","srp","Doseljenik","<<The>> immigrant","Beograd","XA-SP"
"743","990047096810603392","9788025316863","2013","Brezina, Thomas","cze","Dračí pohár","Drachenblut und Wildschweinmut","Praha","XA-CZ"
"745","9958923240003338","9788366102828","2021","Canetti, Elias","pol","Dramaty","Dramen","Kraków","XA-PL"
"753","990050069380603392","9783864060762","2017","Greene, Graham","ger","Der dritte Mann","<<The>> third man","Frankfurt am Main","XA-DE-HE"
"756","990043986170603392","9785752528514","2013","Kubin, Alfred","rus","Drugaja storona","<<Die>> andere Seite","Moskva [u.a.]","XA-RU"
"758","9958852857203338","9788366102569","2021","Handke, Peter","pol","Drugi miecz","<<Das>> zweite Schwert","Kraków","XA-PL"
"760","9958807472603338","9788056612781","2019","Brezina, Thomas","slo","Duchovia vlkov","<<Das>> Geheimnis der Geisterwölfe","Bratislava","XA-SK"
"763","9958549665503338","9786059328173","2016","Zweig, Stefan","tur","Dünün dünyası","<<Die>> Welt von Gestern","Kızılay/Ankara","XB-TR"
"765","9959021706803338","9788416948468","2020","Rilke, Rainer Maria","cat","Dues històries de Praga","Zwei Prager Geschichten","Martorell","XA-ES"
"769","9958564959303338","9785000834411","2018","Nöstlinger, Christine","rus","Dujbol-privet!","Rüb-rüb-hurra!","Moskva","XA-RU"
"776","9958507278203338","9787115475091","2018","Brezina, Thomas","chi","Duo ming hai tan","<<Die>> Festung der Haie","Bei jing","XB-CN"
"777","990049796900603392","9787115410658","2016","Brezina, Thomas","chi","Duo ming mu nai yi","<<Das>> Mumienauto","Bei jing","XB-CN"
"779","9959032210303338","9788652148042","2023","Zweig, Stefan","srp","Dvadeset četiri časa iz života jedne žene i druge priče","Vierundzwanzig Stunden aus dem Leben einer Frau","Beograd","XA-RS"
"780","9959031500503338","9788681800089","2020","Zweig, Stefan","srp","Dvadeset četiri časa jedne žene","Vierundzwanzig Stunden aus dem Leben einer Frau","Niš","XA-RS"
"781","9958513751203338","9786197362343","2018","Gauß, KarlMarkus","bul","Dvajset leva ili smărt","Zwanzig Lewa oder tot","Sofija","XA-BG"
"784","9959070810803338","9786082479668","2017","Kappacher, Walter","mac","Dvorecot na muvite","<<Der>> Fliegenpalast","Skopje","XA-MK"
"785","9959070807203338","9786192620301","2023","Vögel, Stefan","bul","Dvuposočna ljubov","Zweimal Liebe retour","Sofija","XA-BG"
"787","9958496968603338","9791195847419","2017","Nöstlinger, Christine","kor","Dwi ba kkwin gyo hwan hag saeng","<<Das>> Austauschkind","Seo ul si","XB-KR"
"789","9958888254603338","9788366511316","2021","Zweig, Stefan","pol","Dziewczyna z poczty","Rausch der Verwandlung","Łódź","XA-PL"
"790","990042801340603392","9788377476383","2012","Zweig, Stefan","pol","Dziewczyna z poczty","Rausch der Verwandlung","Warszawa","XA-PL"
"791","9958541554503338","9788328060135","2018","Essad","pol","Dziewczyna znad Złotego Rogu","<<Das>> Mädchen vom Goldenen Horn","Warszawa","XA-PL"
"792","9958887421203338","9788025354063","2021","Brezina, Thomas","cze","Džin z kouzelné lampy","<<Ein>> Fall für dich und das Tiger Team - Der Dämon in der Wunderlampe","Praha","XA-CZ"
