"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country"
"3566","990048300490603392","9780812993066","2014","Adler, H. G.","eng","The wall","<<Die>> unsichtbare Wand","New York, NY","XD-US"
"3567","9958918840103338","9781784878030","2022","Haushofer, Marlen","eng","The wall","<<Die>> Wand","London","XA-GB"
"3568","990042654230603392","9781573449069","2013","Haushofer, Marlen","eng","The wall","<<Die>> Wand","Berkeley, Calif.","XD-US"
"3569","990050385490603392","9788074072017","2014","Meyrink, Gustav","ger","Walpurgisnacht","Walpurgisnacht","Praha","XA-CZ"
"3570","9958863153303338","9789493081963","2021","Haushofer, Marlen","dut","De wand","<<Die>> Wand","Amsterdam","XA-NL"
"3571","990043693870603392","9789461641113","2013","Haushofer, Marlen","dut","De wand","<<Die>> Wand","Amsterdam","XA-NL"
"3572","990037042840603392","9789055159871","2010","Haushofer, Marlen","dut","De wand","<<Die>> Wand","Amsterdam","XA-NL"
"3573","9958578338003338","9789078627722","2019","Bernhard, Thomas","dut","Wandeling","Gehen","[Bleiswijk]","XA-NL"
"3574","990047366660603392","9789056725082","2015","Meyerhoff, Joachim","dut","Wanneer wordt het eindelijk weer zoals het nooit is geweest","Wann wird es endlich so, wie es nie war","Amsterdam","XA-NL"
"3575","9958803572803338","9789493081154","2019","Suttner, Bertha ","dut","De wapens neer!","<<Die>> Waffen nieder!","[Den Haag]","XA-NL"
