,IDN,ISBN,year,author,language,original language,title,uniform title,publisher,country
1913,990047035310603338,9789045202105,2013,"Augustin, Anita",dut,ger,Dwerg aan de winkel,<<Der>> Zwerg reinigt den Kittel,Uithoorn,XA-NL
1914,9958496968603338,9791195847419,2017 nyeon 2 wol 6 il,"Nöstlinger, Christine",kor,ger,Dwi ba kkwin gyo hwan hag saeng,<<Das>> Austauschkind,Seo ul si,XB-KR
1915,9958599478203338,9788771513936,[2019],"Menasse, Eva",dan,ger,Dyr for viderekomne,Tiere für Fortgeschrittene,[København],XA-DK
1917,9958888254603338,9788366511316,2021,"Zweig, Stefan",pol,ger,Dziewczyna z poczty,Rausch der Verwandlung,Łódź,XA-PL
1918,990042801340603338,9788377476383,2012,"Zweig, Stefan",pol,ger,Dziewczyna z poczty,Rausch der Verwandlung,Warszawa,XA-PL
1919,9958541554503338,9788328060135,2018,Essad,pol,ger,Dziewczyna znad Złotego Rogu,<<Das>> Mädchen vom Goldenen Horn,Warszawa,XA-PL
1921,9958887421203338,9788025354063,[2021],"Brezina, Thomas",cze,ger,Džin z kouzelné lampy,<<Ein>> Fall für dich und das Tiger Team - Der Dämon in der Wunderlampe,Praha,XA-CZ
1922,9958513872303338,9789857140749,2018,"Köhlmeier, Michael",bel,ger,Dzjaŭčynka z naparstkam,<<Das>> Mädchen mit dem Fingerhut,Minsk,XA-BY
1923,9959005410603338,9791281270022,[2023],"Donhauser, Michael",ita,ger,E come mani erano i miei occhi,Und es waren wie Hände meine Augen,Venezia,XA-IT
1924,9958919235403338,9788836291366,[2021],"Rabinowich, Julya",ita,ger,E in mezzo: io,Dazwischen: ich,Nardò (LE),XA-IT
1925,990049796910603338,9787115423436,2016 nian 7 yue,"Brezina, Thomas",chi,ger,E ling qi xi de gu bao,<<Der>> Totenkopf-Helm,Bei jing,XB-CN
1926,990048808130603338,9787115391711,2015,"Brezina, Thomas",chi,ger,E meng zhi sheng ji,<<Der>> Alptraum-Helikopter,Bei jing,XB-CN
1927,990047358880603338,9788937490699,2014,"Kehlmann, Daniel",kor,ger,E peu,F,Seo ul,XB-KR
1937,990038943410603338,9789632363684,2011,"Stangl, Thomas",hun,ger,<<Az>> egyetlen hely,<<Der>> einzige Ort,Budapest,XA-HU
1938,990049793370603338,9789632633688,2013,"Fritsch, Gerhard",hun,ger,<<Az>> egyszarvú,Gesammelte Gedichte,Budapest,XA-HU
1940,990049825700603338,9783351036645,2017,"Vogel, David",ger,heb,<<Eine>> Ehe in Wien,Chaie nissuim,Berlin,XA-DE-BE
1948,990048235960603338,9783492055987,[2015],"Márai, Sándor",ger,hun,<<Die>> Eifersüchtigen,<<A>> féltékenyek,München,XA-DE
1949,9958593571903338,9784885880988,2019,"Aichinger, Ilse",jpn,ger,Eiga to saiyaku,Film und Verhängnis,Tōkyō,XB-JP
1972,9959002603403338,9783518431221,2023,"Karahasan, Dževad",ger,bos,Einübung ins Schweben,Uvod u lebdenje,Berlin,XA-DE-BE
1982,9958497167903338,9789631436075,[2017],"Kehlmann, Daniel",hun,ger,El kellett volna menned,Du hättest gehen sollen,Budapest,XA-HU
1983,990037085820603338,9789545297496,2010,"Haas, Wolf",bul,ger,"Ela, sladka smărt","Komm, süßer Tod",Sofija,XA-BG
1984,9958540772703338,9785386106737,[2018],"Poznanski, Ursula",rus,ger,Ėlanus,Elanus,Moskva,XA-RU
1985,9958811378403338,9786065767997,[2019],"Poznanski, Ursula",rum,ger,Elanus,Elanus,Bucureşti,XA-RO
1987,9958538280603338,9789047710257,[2018],"Poznanski, Ursula",dut,ger,Elanus,Elanus,Rotterdam,XA-NL
1989,990049336340603338,9788416358236,2016,"Rilke, Rainer Maria",ger,ger,Elegías de Duino,Duineser Elegien,Madrid,XA-ES
1990,990046336640603338,9788371510304,2011,"Rilke, Rainer Maria",pol,ger,Elegie duinejskie,Duineser Elegien,Warszawa,XA-PL
1991,990057794680603338,9788074652578,2017,"Rilke, Rainer Maria",cze,ger,Elegie z Duina ; Sonety Orfeovi,Duineser Elegien,Červený Kostelec,XA-CZ
1992,9958919208803338,9791030416442,2022,"Rilke, Rainer Maria",fre,ger,Elégies de Duino,Duineser Elegien,Paris,XA-FR
1994,9958800276803338,9782757882849,2020,"Rilke, Rainer Maria",fre,ger,<<Les>> élégies de Duino,fail,Paris,XA-FR
1995,990051194550603338,9785987127568,2017,"Rilke, Rainer Maria",rus,ger,Ėlegii i drugie stichotvorenija,fail,Moskva,XA-RU
1997,990050383250603338,9782889273706,[2016],"Torberg, Friedrich",fre,ger,<<L'>>élève Gerber,<<Der>> Schüler Gerber,Carouge-Genève,XA-CH
2014,9958506172403338,9788477275640,febrer de 2015,"Zweig, Stefan",cat,ger,<<L'>> embriaguesa de la metamorfosi,Rausch der Verwandlung,Barcelona,XA-ES
2017,990045428140603338,9783847730064,2014,"Glatstein, Jacob",ger,yid,Emil und Karl,fail,Berlin,XA-DE
2020,990043237130603338,9789633101315,2012,"Schwarzenegger, Arnold",hun,eng,Emlékmás,Total recall,Budapest,XA-HU
2021,990049391520603338,9786176141389,2016,"Scholl, Susanne",ukr,ger,Emma movčitʹ,Emma schweigt,Černivci,XA-UA
2024,990049573740603338,9781908670304,2016,"Stift, Linda",eng,ger,<<The>> empress and the cake,fail,London,XA-GB
2028,990048503740603338,9788420691626,2014,"Bernhard, Thomas",spa,ger,En busca de la verdad,<<Der>> Wahrheit auf der Spur,Madrid,XA-ES
2029,9958496969303338,9789631436341,2017,"Kehlmann, Daniel",hun,ger,Én és Kaminski,Ich und Kaminski,Budapest,XA-HU
2030,9958026974603338,9789873743856,mayo de 2017,"Bernhard, Thomas",spa,ger,En las alturas,In der Höhe,Buenos Aires,XD-AR
2031,990048314200603338,9788497168434,2013,"Sacher-Masoch, Leopold <<von>>",spa,ger,<<El>> encuadernador de Hort y otros cuentos judíos,fail,Palma (España),XA-ES
2032,9959003602903338,9788417346652,diciembre de 2020,"Zweig, Stefan",spa,ger,Encuentros con libros,Begegnungen mit Büchern,Barcelona,XA-ES
2040,990039501180603338,9789543572267,[ca. 2014],"Lechner, Auguste",bul,ger,Eneida,Änäas,[Sofija],XA-BG
2041,990044100300603338,9782354131180,2011,fail,fre,ger,<<Un>> enfant est un enfant,fail,[Paris],XA-FR
2042,990049139960603338,9782070179930,avril 2016,"Bernhard, Thomas",fre,ger,<<Un>> enfant,Ein Kind,Paris,XA-FR
2043,9958496162903338,9782012028746,[2013],"Golabek, Mona",fre,eng,<<Les>> enfants de Willesden Lane,<<The>> Children of Willesden Lane,Paris,XA-FR
2044,9958500465603338,9783899300307,2016,"Agosín, Marjorie",ger,eng,Engel der Erinnerung,Entre los ángeles de la memoria,Berlin,XA-DE
2050,9958564958303338,9789059368576,[2019],"Haderlap, Maja",dut,ger,<<De>> engel van het vergeten,Engel des Vergessens,Amsterdam,XA-NL
2058,990042805870603338,9789928117045,2012,"Zauner, Friedrich Ch.",alb,ger,Enigma,Scharade,[Lushnjë],XA-AL
2059,990038912860603338,9781572411814,2011,"Bachmann, Ingeborg",eng,ger,Enigma,fail,"Riverside, Calif.",XD-US
2060,990044610410603338,9788467510751,2011,"Brezina, Thomas",spa,ger,<<El>> enigma Vincent,Wer findet Vincents Farbenschatz?,Boadilla del Monte (Madrid),XA-ES
2062,9958812076103338,9788574483108,[2019],"Handke, Peter",por,ger,Ensaio sobre a jukebox,Versuch über die Jukebox,São Paulo,XD-BR
2063,9958835753603338,9786586068191,[2020],"Handke, Peter",por,ger,Ensaio sobre o cansaço,Versuch über die Müdigkeit,São Paulo,XD-BR
2064,9958835753503338,9786586068207,[2020],"Handke, Peter",por,ger,Ensaio sobre o dia exitoso,Versuch über den geglückten Tag,São Paulo,XD-BR
2065,9958631866803338,9788574482781,2019,"Handke, Peter",por,ger,Ensaio sobre o louco por cogumelos,Versuch über den Pilznarren,Barra Funda,XD-BR
2067,9958506175303338,9788491046370,2017,"Handke, Peter",spa,ger,Ensayo sobre el cansancio,Versuch über die Müdigkeit,Madrid,XA-ES
2068,9958550770603338,9788491815143,2019,"Handke, Peter",spa,ger,Ensayo sobre el día logrado,Versuch über den geglückten Tag,Madrid,XA-ES
2069,9958550770503338,9788491815136,2019,"Handke, Peter",spa,ger,Ensayo sobre el jukebox,Versuch über die Jukebox,Madrid,XA-ES
2070,9958550770703338,9788491815129,[2019],"Handke, Peter",spa,ger,Ensayo sobre el loco de las setas,Versuch über den Pilznarren,Madrid,XA-ES
2071,9958599477203338,9788491817093,2019,"Handke, Peter",spa,ger,Ensayo sobre el Lugar Silencioso,Versuch über den Stillen Ort,Madrid,XA-ES
2072,9958546573303338,9788491041047,D.L. 2015,"Handke, Peter",spa,ger,Ensayo sobre el lugar silencioso,Versuch über den Stillen Ort <Español>,Madrid,XA-ES
2085,990048907840603338,9788998120245,2015 nyeon 8 wol 14 il,"Hartlieb, Petra",kor,ger,Eo neu nal seo jeom ju in i doe eoss seub ni da,Meine wundervolle Buchhandlung,Seo ul,XB-KR
2087,990047359160603338,9789605050382,2012,"Zweig, Stefan",gre,ger,Epikindynos oiktos,"Ungeduld des Herzens <griech., neugriech.>",Athēna,XA-GR
2088,990051202830603338,9788793499133,2017,"Handke, Peter",dan,ger,Epopé over vejenes forsvinden,fail,[Svendborg],XA-DK
2089,990051046110603338,9789600361599,[2017],"Kehlmann, Daniel",gre,ger,Eprepe na eiches phugei,Du hättest gehen sollen,Athēna,XA-GR
2090,9959003705503338,9788414016954,noviembre 2021,"Kaiblinger, Sonja",spa,ger,<<Un>> equipo de miedo,Scary Harry - von allen guten Geistern verlassen,Zaragoza,XA-ES
2093,990049074870603338,9787532157464,2015 nian 10 yue,"Canetti, Elias",chi,ger,Er zhong huo ju,<<Die>> Fackel im Ohr,Shang hai,XB-CN
2103,9958564967903338,9786176641599,[2019],"Poznanski, Ursula",ukr,ger,Ereb,Erebos,Lʹviv,XA-UA
2104,990045922900603338,9788652108589,2011,"Poznanski, Ursula",srp,ger,Ereb,Erebos,Beograd,XA-SP
2105,990045756730603338,9786090106976,2012,"Poznanski, Ursula",lit,ger,Erebas,Erebos,Vilnius,XA-LT
2107,990043959380603338,9789601648224,2013,"Poznanski, Ursula",gre,ger,Erebos,"Erebos <griech., neugriech.>",Athēna,XA-GR
2108,9958826773403338,9789047712183,[2020],"Poznanski, Ursula",dut,ger,Erebos ontwaakt,Erebos 2,Rotterdam,XA-NL
2113,990043951900603338,9786155131202,2012,"Poznanski, Ursula",hun,ger,Erebos,Erebos,[Budapest],XA-HU
2115,990043532490603338,9788202369057,2013,"Poznanski, Ursula",nor,ger,Erebos,Erebos,[Oslo],XA-NO
2123,990027329510603338,9781590173411,2011,"Rezzori, Gregor <<von>>",eng,ger,<<An>> erminine in Czernopol,<<Ein>> Hermelin in Tschernopol,"New York, NY",fail
2139,990048082050603338,9783608939873,[2015],"Sem-Sandberg, Steve",ger,swe,<<Die>> Erwählten,<<De>> utvalda,Stuttgart,XA-DE
2140,990051222050603338,9783442481330,September 2017,"Sem-Sandberg, Steve",ger,swe,<<Die>> Erwählten,De utvalda,München,XA-DE
